epoch,lr,train_loss,val_loss,val_macro_f1,seconds
1,5.9999999999999995e-05,0.5926133302082872,0.6217076258572269,0.7791596638655462,4.653
2,0.00011999999999999999,0.5025755399061125,0.6712946020849219,0.7486697965571205,3.793
3,0.00017999999999999998,0.5039832491895911,0.6495561632391524,0.7391822151647478,3.841
4,0.00023999999999999998,0.4839204617748006,0.6956096697071371,0.7442442442442443,4.098
5,0.0003,0.47580637271465265,0.6377798577421876,0.7794932035576438,4.154
6,0.0003,0.45374361913779687,0.5979244964852181,0.7794932035576438,3.792
7,0.0002998688630997793,0.4048317808396824,0.6227780177712985,0.7892115835286242,4.186
8,0.0002994756824578009,0.3802018695333776,0.7100350911214471,0.7670455730524559,4.112
9,0.00029882114784651444,0.35091146767073134,0.6718231440951291,0.7569978017376741,3.898
10,0.0002979064075420405,0.34870965117474684,0.7022477129822997,0.7760876369327072,4.042
11,0.00029673306630970396,0.3248334657297251,0.693524858722948,0.7671038638780575,4.643
12,0.00029530318258873034,0.3297037183243918,0.6929948776279955,0.768675004225114,4.72
13,0.00029361926488104403,0.3271398498895304,0.6722780275562582,0.7998980047172818,3.827
14,0.00029168426735050345,0.308939630416397,0.6235125113839972,0.7898447930574098,3.831
