dataset,construction,representation,model,rep_kind,model_name,labelling,h,edge_labels,norm,min_df,with_size,max_blocks,windows,calls,cross_section,extern,arch_weight,dim,n_features,n_train,cv_macro_f1,cv_macro_f1_foldmean,cv_macro_f1_foldstd,cv_balanced_acc,cv_auc,cv_macro_f1_at_oof_thr,cv_balanced_acc_at_oof_thr,oof_threshold_f1,oof_threshold_ba,seconds,stage
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/class_noflag/h1/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class_noflag,1,False,tfidf,3,False,20000,4,False,False,False,False,128,361772,2017,0.8215759647923587,0.8182508521295759,0.07258631437779403,0.8159636913706876,0.9612205710469195,0.9313185918682092,0.9311843538550835,0.39800494282447896,0.39800494282447896,21.4,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/class_noflag/h2/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class_noflag,2,False,tfidf,3,False,20000,4,False,False,False,False,128,1057110,2017,0.7347402391881833,0.7232401208844774,0.1357568875706967,0.7363151889575332,0.9607385365233088,0.9320010788128299,0.9330876448091342,0.33761765381113457,0.33761765381113457,5.4,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/class_noflag/h3/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class_noflag,3,False,tfidf,3,False,20000,4,False,False,False,False,128,1773655,2017,0.6523019247421689,0.6371735632172039,0.154760092431958,0.6697357854479244,0.9611559684818993,0.9360580771455971,0.9376162846170359,0.325007707204099,0.325007707204099,8.1,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/class_noflag/h4/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class_noflag,4,False,tfidf,3,False,20000,4,False,False,False,False,128,2498500,2017,0.6443418732496629,0.6287463238774691,0.15333481829337905,0.6639970899029173,0.9624152215569813,0.9390553547793972,0.9406232855473129,0.3212148219795946,0.3212148219795946,10.4,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/dom_term/h1/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,dom_term,1,False,tfidf,3,False,20000,4,False,False,False,False,128,120143,2017,0.9065034997450516,0.9049114023821275,0.03484101767784924,0.9037009318671533,0.9627352527252344,0.9279332569777066,0.9285590050012325,0.417462150127401,0.417462150127401,19.7,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/dom_term/h2/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,dom_term,2,False,tfidf,3,False,20000,4,False,False,False,False,128,701517,2017,0.8307416229335709,0.8287515670307674,0.08436990619916743,0.8250209709864911,0.9591393745676599,0.9307952334920578,0.9305636722880837,0.4073666906635709,0.362407274629621,4.6,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/dom_term/h3/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,dom_term,3,False,tfidf,3,False,20000,4,False,False,False,False,128,1362501,2017,0.7735683661161072,0.7650169052154456,0.13079471293019052,0.7704019869761229,0.9589574934999882,0.9320617069671968,0.9336069500433335,0.3306982545604755,0.3306982545604755,7.6,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/dom_term/h4/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,dom_term,4,False,tfidf,3,False,20000,4,False,False,False,False,128,2047923,2017,0.7374552554506997,0.7218147242801976,0.1706355274609307,0.7382522720225175,0.9593490844325708,0.9350010312181463,0.9360946457394111,0.3416975480048708,0.3416975480048708,11.6,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/seq_term/h1/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,seq_term,1,False,tfidf,3,False,20000,4,False,False,False,False,128,666116,2017,0.8147737684526009,0.8115434301027694,0.09571344974123004,0.8092564542931883,0.9615336450158624,0.9328011687531577,0.9325320627499623,0.4088823218232005,0.4088823218232005,26.8,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/seq_term/h2/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,seq_term,2,False,tfidf,3,False,20000,4,False,False,False,False,128,1380522,2017,0.6998482793212335,0.6896620173814609,0.14642733329535723,0.7065180012562714,0.9623665211618125,0.9330607995117969,0.934609283686759,0.34031141855749764,0.34031141855749764,6.1,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/seq_term/h3/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,seq_term,3,False,tfidf,3,False,20000,4,False,False,False,False,128,2111938,2017,0.678098889175051,0.6631185052938081,0.16408203622388956,0.6894057756680899,0.9633991683165167,0.9369415998554933,0.9392104771446064,0.35785809831330667,0.3038140275739238,10.4,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/seq_term/h4/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,seq_term,4,False,tfidf,3,False,20000,4,False,False,False,False,128,2857344,2017,0.6389506784391734,0.628259588009921,0.1420794208710643,0.659434657984082,0.9638812028401276,0.9389434538283348,0.9407321160222313,0.35745783772217865,0.30044089702580323,12.5,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/deg_dom/h1/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,deg_dom,1,False,tfidf,3,False,20000,4,False,False,False,False,128,265827,2017,0.8772076147107347,0.8756651967326204,0.032515049052198174,0.8721381063696141,0.9607355548664616,0.9279332569777066,0.9285590050012325,0.38223620815317705,0.38223620815317705,21.7,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/deg_dom/h2/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,deg_dom,2,False,tfidf,3,False,20000,4,False,False,False,False,128,874298,2017,0.7832493572748931,0.7771138647789742,0.11295868202790875,0.7793554055450866,0.9586324929036568,0.9319369649233897,0.932568339574935,0.35158553725985503,0.35158553725985503,5.1,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/deg_dom/h3/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,deg_dom,3,False,tfidf,3,False,20000,4,False,False,False,False,128,1541888,2017,0.7476742429789576,0.7308222344051352,0.17334591081390435,0.7473433437492546,0.9587110098672963,0.9319369649233897,0.932568339574935,0.3489053253060209,0.3489053253060209,7.6,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/deg_dom/h4/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,deg_dom,4,False,tfidf,3,False,20000,4,False,False,False,False,128,2231098,2017,0.6818333385727052,0.6693242545150792,0.147470659844922,0.6922751234405935,0.9588630743664972,0.9338731886433675,0.9340899784525598,0.3600550513100856,0.3315761425826023,11.5,2_labelling
balanced,b20000/w4/calls0/xs0/ext0,wl_tfidf/lenbucket/h1/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,lenbucket,1,False,tfidf,3,False,20000,4,False,False,False,False,128,127228,2017,0.8569918062602884,0.8558062506652615,0.02251361426891198,0.8507725472890777,0.964909874452369,0.933219577472584,0.9361671993893567,0.28891462238931775,0.28891462238931775,21.7,2_labelling
