epoch,lr,train_loss,val_loss,val_acc,seconds
1,5.9999999999999995e-05,0.6501532526662974,0.5999070135153592,68.4931506849315,4.01
2,0.00011999999999999999,0.6082132962294722,0.6612350282059413,66.66666666666666,3.58
3,0.00017999999999999998,0.5451072591950722,0.8481596653864264,61.18721461187214,3.58
4,0.00023999999999999998,0.5085991841014589,0.6757024129231771,74.42922374429224,3.67
5,0.0003,0.4537419668497676,0.8473834338253492,69.86301369863014,3.56
6,0.0003,0.3909383058349181,0.7948589096330616,74.88584474885845,3.57
7,0.0002998688630997793,0.3788841633481274,0.7201048987641182,79.45205479452055,3.59
8,0.0002994756824578009,0.3562894750960076,0.604409720527527,75.34246575342466,3.53
9,0.00029882114784651444,0.3383488243258351,0.7175203752299967,75.34246575342466,3.46
10,0.0002979064075420405,0.32867051229468974,0.848313932005129,73.0593607305936,3.51
11,0.00029673306630970396,0.3080195396591916,0.759233543317612,74.42922374429224,3.55
12,0.00029530318258873034,0.3100256444746551,0.682348255153116,79.45205479452055,3.5
13,0.00029361926488104403,0.30370952256061157,0.7939651437001686,71.68949771689498,3.54
