epoch,lr,train_loss,val_loss,val_macro_f1,seconds
1,5.9999999999999995e-05,0.6618761402358606,0.6191526477195356,0.6290666725325005,2.577
2,0.00011999999999999999,0.5956381994065078,0.6201946550308297,0.7488584474885844,2.188
3,0.00017999999999999998,0.5428869431385933,0.6733204488340578,0.638637094181935,2.29
4,0.00023999999999999998,0.5409027842298489,0.6762090709111462,0.708982990786676,2.364
5,0.0003,0.4802275317254631,0.7380539625202684,0.5935953559192995,2.165
6,0.0003,0.5062526939576569,0.6810466257948854,0.6831826401446655,2.569
7,0.0002998688630997793,0.46736896495278374,0.8411806582315872,0.5955536853916824,2.203
8,0.0002994756824578009,0.4862202469211873,0.68596026859327,0.7576674948326618,2.173
9,0.00029882114784651444,0.4402047525252681,0.9648646159803487,0.5065194824923411,2.561
10,0.0002979064075420405,0.43446919706346193,0.6015703754337955,0.7563334474495036,2.202
11,0.00029673306630970396,0.43234275572163455,0.621266459221165,0.7747339253101581,2.159
12,0.00029530318258873034,0.4478662611047979,0.8338532592063626,0.6799432871632675,2.35
13,0.00029361926488104403,0.38658383043028366,0.6391668586426129,0.803763440860215,4.019
14,0.00029168426735050345,0.4284421761477239,1.1110278427873028,0.49063258785942493,2.201
15,0.0002895015846402936,0.3516486549523223,1.0669617832523504,0.5296203796203797,2.315
16,0.0002870750459175688,0.3303615864016335,0.7000022794558033,0.7862054329371817,2.165
17,0.00028440890815579226,0.36565698641018446,1.0359302361806233,0.5065194824923411,2.169
18,0.0002815078486665576,0.358779441074506,0.9522595432795347,0.5591614296936371,2.182
