epoch,lr,train_loss,val_loss,val_macro_f1,seconds
1,5.9999999999999995e-05,0.6126912359533638,0.5664231458755389,0.7623142427784271,3.419
2,0.00011999999999999999,0.5043342608763723,0.629571505605358,0.7532960614152203,3.734
3,0.00017999999999999998,0.4500222353967066,0.747567842267964,0.7441588785046729,3.442
4,0.00023999999999999998,0.4896511965254125,0.6339327886224337,0.7625521267723103,3.628
5,0.0003,0.447889651353155,0.6523281333109016,0.7305037021587236,3.69
6,0.0003,0.402390538088074,0.6595189206676396,0.7670455730524559,3.391
7,0.0002998688630997793,0.38726252861097205,0.589083080966723,0.7708821560093739,4.257
8,0.0002994756824578009,0.36255245870424724,0.7444135712706335,0.7531724828852897,4.226
9,0.00029882114784651444,0.37573418581445966,0.7070177762203564,0.747827907463624,2.164
10,0.0002979064075420405,0.3494567118908327,0.605848786765582,0.7728608470181504,2.212
11,0.00029673306630970396,0.346941555036984,0.7871653391345995,0.7579908675799087,3.358
12,0.00029530318258873034,0.32088727600980255,0.7480456978763075,0.7351101101101102,3.628
13,0.00029361926488104403,0.31634119388391496,0.7052692294665123,0.775788220053906,3.449
