epoch,lr,train_loss,val_loss,val_macro_f1,seconds
1,5.9999999999999995e-05,0.6572341232116915,0.7357559315690166,0.594489682097044,3.74
2,0.00011999999999999999,0.5817059899383681,0.588604258347864,0.788964303670186,3.693
3,0.00017999999999999998,0.5599080894707705,0.6659241705180303,0.5837203147181251,3.399
4,0.00023999999999999998,0.559873213000666,0.6276755537072273,0.7533626569771149,3.698
5,0.0003,0.4504556268900881,0.5752110258084998,0.7310721544715446,3.664
6,0.0003,0.39097530857399476,0.7491394989022381,0.5195118944903242,3.408
7,0.0002998688630997793,0.37485847392302213,0.719004040983714,0.7074052171627571,3.747
8,0.0002994756824578009,0.3331145403151912,0.7165694084341667,0.71443345323741,3.394
9,0.00029882114784651444,0.3357774339628723,0.7607598821866458,0.6224137931034484,5.255
10,0.0002979064075420405,0.3216326807259586,1.0043785708135666,0.5626428622987897,3.495
11,0.00029673306630970396,0.32103613991416646,0.6701445595858848,0.8153145555742958,3.422
12,0.00029530318258873034,0.297382571486515,0.8478110821824095,0.6947392086330936,3.443
13,0.00029361926488104403,0.28771818123173887,0.7766189983446304,0.708982990786676,3.726
