epoch,lr,train_loss,val_loss,val_acc,seconds
1,5.9999999999999995e-05,0.6369613706071067,0.6786623859786551,68.0365296803653,4.17
2,0.00011999999999999999,0.5281344337245911,0.6484728803917698,74.42922374429224,3.78
3,0.00017999999999999998,0.4825166664744113,0.8368986439487162,63.926940639269404,3.83
4,0.00023999999999999998,0.5036091970920032,0.6066888483691978,74.42922374429224,3.81
5,0.0003,0.4397973383427727,0.790813843953555,70.77625570776256,3.84
6,0.0003,0.40145905211451854,0.7149256889678571,76.25570776255708,4.14
7,0.0002998688630997793,0.3656456043510734,0.648745336489046,79.45205479452055,4.7
8,0.0002994756824578009,0.35721365018469076,0.649826384026166,77.1689497716895,5.11
9,0.00029882114784651444,0.32781381568601053,0.6965726273789253,78.08219178082192,5.52
10,0.0002979064075420405,0.3565554881387611,0.6838284722746235,78.08219178082192,5.66
11,0.00029673306630970396,0.31900693948595094,0.695508565668646,76.25570776255708,4.22
12,0.00029530318258873034,0.3251315463040111,0.666398305871171,79.45205479452055,3.79
13,0.00029361926488104403,0.30130489550124817,0.6629657135706514,78.99543378995433,3.78
