epoch,lr,train_loss,val_loss,val_macro_f1,seconds
1,5.9999999999999995e-05,0.6081181421826228,0.5946640222584276,0.7534195162635531,3.824
2,0.00011999999999999999,0.5153124508125764,0.6190694586871421,0.7669483568075117,3.878
3,0.00017999999999999998,0.47585825010454563,0.6524371632702275,0.7531724828852897,3.829
4,0.00023999999999999998,0.4969313778521885,0.6529495160873622,0.7528010033444816,3.855
5,0.0003,0.4753918684894702,0.7148708883485838,0.7397043184519465,3.865
6,0.0003,0.41452546618273844,0.7155367059794735,0.7486697965571205,3.861
7,0.0002998688630997793,0.4082517977285969,0.5692626286859381,0.7850742447516641,3.851
8,0.0002994756824578009,0.4142113495390195,0.7245651105223181,0.7440307229921523,3.819
9,0.00029882114784651444,0.3669894195106854,0.6246132371632476,0.766812117669165,3.883
10,0.0002979064075420405,0.3867887517766772,0.6689726359223667,0.7259759759759761,3.946
11,0.00029673306630970396,0.358526103024488,0.804628139761485,0.7210890034866484,3.845
12,0.00029530318258873034,0.3519814355222216,0.6613580853971717,0.7716466466466467,3.895
13,0.00029361926488104403,0.34493895135281216,0.7374185067877922,0.7625521267723103,3.829
14,0.00029168426735050345,0.32723480711656894,0.7456037023840429,0.7487746376055897,3.81
15,0.0002895015846402936,0.333717576952214,0.7314216573488767,0.7624332443257678,3.824
