epoch,lr,train_loss,val_loss,val_acc,seconds
1,5.9999999999999995e-05,0.5789757856935495,0.616687277136328,74.42922374429224,6.75
2,0.00011999999999999999,0.5454256118537322,0.6382391145240226,76.71232876712328,4.71
3,0.00017999999999999998,0.5176739390023691,0.593278578971619,76.71232876712328,3.95
4,0.00023999999999999998,0.5041514014508223,0.6153600542512658,77.6255707762557,3.71
5,0.0003,0.4647854577182265,0.6083828091077065,78.08219178082192,3.57
6,0.0003,0.42594297231901207,0.5792030980597892,74.42922374429224,3.51
7,0.0002998688630997793,0.35640661055439704,0.6342338075920871,81.27853881278538,3.84
8,0.0002994756824578009,0.3743098630788462,0.5225591166923035,80.82191780821918,4.14
9,0.00029882114784651444,0.3530639089121834,0.6305766565614639,81.7351598173516,3.57
10,0.0002979064075420405,0.3349797172063715,0.6693318371903406,78.99543378995433,3.5
11,0.00029673306630970396,0.342730542742238,0.5692024821560132,80.82191780821918,3.43
12,0.00029530318258873034,0.3235308595905049,0.6041598809908514,80.82191780821918,3.45
13,0.00029361926488104403,0.31522042073052503,0.6714726683755988,78.53881278538812,3.38
14,0.00029168426735050345,0.3152175400824648,0.6506887505587922,78.53881278538812,3.42
15,0.0002895015846402936,0.29612450737576596,0.7457313156563398,75.79908675799086,3.39
16,0.0002870750459175688,0.30042468649526854,0.7127128512892005,74.88584474885845,3.38
