family,file,machine,arch,dotnet,upx,n_exec,max_entropy,tag
everyday,CM_FP_inkscape.bin.libglib_2.0_0.dll,0x8664,x64,0,0,1,6.35,plain
everyday,CM_FP_inkscape.bin.libgmodule_2.0_0.dll,0x8664,x64,0,0,1,6.01,plain
everyday,CM_FP_inkscape.bin.libgmp_10.dll,0x8664,x64,0,0,1,6.42,plain
everyday,CM_FP_inkscape.bin.libgobject_2.0_0.dll,0x8664,x64,0,0,1,6.22,plain
everyday,CM_FP_inkscape.bin.libgomp_1.dll,0x8664,x64,0,0,1,6.20,plain
everyday,CM_FP_inkscape.bin.libgsl_28.dll,0x8664,x64,0,0,1,6.35,plain
everyday,CM_FP_inkscape.bin.libgslcblas_0.dll,0x8664,x64,0,0,1,6.43,plain
everyday,CM_FP_inkscape.bin.libgspell_1_3.dll,0x8664,x64,0,0,1,6.04,plain
everyday,CM_FP_inkscape.bin.libgtk_3_0.dll,0x8664,x64,0,0,1,6.28,plain
everyday,CM_FP_inkscape.bin.libharfbuzz_0.dll,0x8664,x64,0,0,1,6.37,plain
everyday,CM_FP_inkscape.bin.libharfbuzz_subset_0.dll,0x8664,x64,0,0,1,6.24,plain
everyday,CM_FP_inkscape.bin.libheif.dll,0x8664,x64,0,0,1,6.14,plain
everyday,CM_FP_inkscape.bin.libiconv_2.dll,0x8664,x64,0,0,1,6.24,plain
everyday,CM_FP_inkscape.bin.libicuin78.dll,0x8664,x64,0,0,1,6.22,plain
everyday,CM_FP_inkscape.bin.libidn2_0.dll,0x8664,x64,0,0,1,6.25,plain
everyday,CM_FP_inkscape.bin.libintl_8.dll,0x8664,x64,0,0,1,6.31,plain
everyday,CM_FP_inkscape.bin.libjbig_0.dll,0x8664,x64,0,0,1,6.27,plain
everyday,CM_FP_inkscape.bin.libjxl_cms.dll,0x8664,x64,0,0,1,6.30,plain
everyday,CM_FP_inkscape.bin.libjxl_threads.dll,0x8664,x64,0,0,1,6.11,plain
everyday,CM_FP_inkscape.bin.libkvazaar_7.dll,0x8664,x64,0,0,1,6.37,plain
everyday,CM_FP_inkscape.bin.liblcms2_2.dll,0x8664,x64,0,0,1,6.35,plain
everyday,CM_FP_inkscape.bin.libnghttp2_14.dll,0x8664,x64,0,0,1,6.22,plain
everyday,CM_FP_inkscape.bin.libngtcp2_crypto_ossl.dll,0x8664,x64,0,0,1,5.97,plain
everyday,CM_FP_inkscape.bin.libopenjp2_7.dll,0x8664,x64,0,0,1,6.29,plain
everyday,CM_FP_inkscape.bin.libpanelw6.dll,0x8664,x64,0,0,1,6.20,plain
everyday,CM_FP_inkscape.bin.libpangocairo_1.0_0.dll,0x8664,x64,0,0,1,6.13,plain
everyday,CM_FP_inkscape.bin.libpangoft2_1.0_0.dll,0x8664,x64,0,0,1,6.12,plain
everyday,CM_FP_inkscape.bin.libpcre2_8_0.dll,0x8664,x64,0,0,1,6.09,plain
everyday,CM_FP_inkscape.bin.libpixman_1_0.dll,0x8664,x64,0,0,1,6.39,plain
everyday,CM_FP_inkscape.bin.libplc4.dll,0x8664,x64,0,0,1,6.18,plain
everyday,CM_FP_inkscape.bin.libpng16_16.dll,0x8664,x64,0,0,1,6.31,plain
everyday,CM_FP_inkscape.bin.libpsl_5.dll,0x8664,x64,0,0,1,6.28,plain
everyday,CM_FP_inkscape.bin.libquadmath_0.dll,0x8664,x64,0,0,1,5.80,plain
everyday,CM_FP_inkscape.bin.libreadline8.dll,0x8664,x64,0,0,1,6.27,plain
everyday,CM_FP_inkscape.bin.libsharpyuv_0.dll,0x8664,x64,0,0,1,6.29,plain
everyday,CM_FP_inkscape.bin.libtermcap_0.dll,0x8664,x64,0,0,1,6.34,plain
everyday,CM_FP_inkscape.bin.libunistring_5.dll,0x8664,x64,0,0,1,6.37,plain
everyday,CM_FP_inkscape.bin.libvisio_0.1.dll,0x8664,x64,0,0,1,6.14,plain
everyday,CM_FP_inkscape.bin.libwebpmux_3.dll,0x8664,x64,0,0,1,6.23,plain
everyday,CM_FP_inkscape.bin.libxml2_16.dll,0x8664,x64,0,0,1,6.19,plain
everyday,CM_FP_inkscape.bin.libxxhash.dll,0x8664,x64,0,0,1,6.49,plain
everyday,CM_FP_python.bin.pythonw.exe,0x8664,x64,0,0,1,5.97,plain
