epoch,lr,train_loss,val_loss,val_macro_f1,seconds
1,5.9999999999999995e-05,0.5889647836414672,0.7365793441528599,0.7305037021587235,3.885
2,0.00011999999999999999,0.5334633287452617,0.6706948680420445,0.7488375002606502,3.854
3,0.00017999999999999998,0.5018221060678081,0.6577508433224404,0.7483337163870375,3.844
4,0.00023999999999999998,0.49285441663559604,0.764840172033876,0.7433880147304988,3.868
5,0.0003,0.4262592009495575,0.7272815663520604,0.7655393916493483,3.828
6,0.0003,0.4583477037767149,0.5629925534605436,0.7936773788338742,3.857
7,0.0002998688630997793,0.3878353771166223,0.7635006632434723,0.7713032581453634,3.873
8,0.0002994756824578009,0.37898527402368615,0.6738178033262627,0.7488584474885844,3.88
9,0.00029882114784651444,0.39084615554242036,0.728590646290888,0.7488375002606502,3.896
10,0.0002979064075420405,0.3642611504264085,0.8719911452842085,0.6194320406502277,3.812
11,0.00029673306630970396,0.3676998639796281,0.7639098917240421,0.7093961286517683,3.869
12,0.00029530318258873034,0.3431693595296416,0.6714761023107729,0.7847418282200891,3.866
13,0.00029361926488104403,0.33296666772532646,0.6901613650800975,0.7625125125125125,3.85
14,0.00029168426735050345,0.32861143688736555,0.7138515542086945,0.7716847372810676,3.871
