cv_rank,track,tokenizer,vocab_size,sampling,budget,ngram,embedding,w2v,pooling,n_features,classifier,clf_params,weighting,cv_macro_f1,cv_balanced_accuracy,cv_roc_auc,cv_macro_f1_bal_threshold,cv_macro_f1_f1_threshold,cv_macro_f1_fold_std,threshold,threshold_rule,oof_threshold_bal_rule,oof_threshold_f1_rule,spec
440,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean,300,RF,"{""class_weight"": ""balanced"", ""max_depth"": ""20"", ""min_samples_leaf"": ""2"", ""n_estimators"": ""600""}",none,0.843468,0.838376,0.941084,0.878791,0.878791,0.074723,0.5,default,0.29427911,0.29427911,"RF(class_weight=balanced,max_depth=20,min_samples_leaf=2,n_estimators=600)|w=none"
441,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",tfidf_mean,300,RF,"{""class_weight"": ""balanced"", ""max_depth"": ""None"", ""min_samples_leaf"": ""1"", ""n_estimators"": ""600""}",none,0.843382,0.837895,0.937109,0.870998,0.870998,0.067765,0.5,default,0.25833333,0.25833333,"RF(class_weight=balanced,max_depth=None,min_samples_leaf=1,n_estimators=600)|w=none"
442,w2v,SW,,head,20000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean,300,SVM-RBF,"{""C"": ""10.0"", ""class_weight"": ""None"", ""gamma"": ""0.1""}",none,0.843233,0.8392,0.925872,0.856164,0.856164,0.04717,0.0,default,-0.54385592,-0.54385592,"SVM-RBF(C=10.0,class_weight=None,gamma=0.1)|w=none"
443,w2v,SW,,head,5000,1-1,w2v,"dim=100,window=30,epochs=5,min_count=1",mean,100,SVM-RBF,"{""C"": ""10.0"", ""class_weight"": ""balanced"", ""gamma"": ""scale""}",none,0.843231,0.840266,0.89211,0.831838,0.832271,0.041685,0.0,default,-0.19846626,-0.19846626,"SVM-RBF(C=10.0,class_weight=balanced,gamma=scale)|w=none"
444,w2v,SW,,head,20000,1-1,w2v,"dim=100,window=30,epochs=5,min_count=1",mean,100,SVM-RBF,"{""C"": ""100.0"", ""class_weight"": ""balanced"", ""gamma"": ""scale""}",none,0.843124,0.838993,0.90883,0.830574,0.820642,0.062983,0.0,default,-0.74988546,-0.74988546,"SVM-RBF(C=100.0,class_weight=balanced,gamma=scale)|w=none"
445,w2v,SW,,strided,5000,1-1,w2v,"dim=100,window=30,epochs=5,min_count=1",mean_max,100,SVM-RBF,"{""C"": ""10.0"", ""class_weight"": ""None"", ""gamma"": ""scale""}",class_arch,0.84291,0.839061,0.897486,0.838109,0.836737,0.062913,0.0,default,-0.18913393,-0.18913393,"SVM-RBF(C=10.0,class_weight=None,gamma=scale)|w=class_arch"
446,tfidf,SW,,strided,5000,1-1,tfidf,,,654,LogReg,"{""C"": ""0.1"", ""class_weight"": ""None""}",none,0.842821,0.8414,0.94136,0.869693,0.870184,0.065228,0.5,default,0.44281332,0.44281332,"LogReg(C=0.1,class_weight=None)|w=none"
447,w2v,SW,,head,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",mean_max,300,MLP,"{""alpha"": ""0.0001"", ""early_stopping"": ""True"", ""hidden_layer_sizes"": ""(500,)"", ""learning_rate_init"": ""0.001""}",none,0.842722,0.840402,0.9207,0.862901,0.853969,0.05745,0.5,default,0.3329422,0.3329422,"MLP(alpha=0.0001,early_stopping=True,hidden_layer_sizes=(500,),learning_rate_init=0.001)|w=none"
448,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean_max,300,RF,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""min_samples_leaf"": ""1"", ""n_estimators"": ""1000""}",none,0.842671,0.837409,0.947649,0.912949,0.912949,0.076404,0.5,default,0.348,0.348,"RF(class_weight=None,max_depth=None,min_samples_leaf=1,n_estimators=1000)|w=none"
449,tfidf,SW,,head,5000,1-1,tfidf,,,435,LinearSVC,"{""C"": ""0.01"", ""class_weight"": ""None""}",none,0.84264,0.841778,0.922283,0.845866,0.855024,0.050893,0.0,default,-0.12271383,-0.12271383,"LinearSVC(C=0.01,class_weight=None)|w=none"
450,w2v,SW,,head,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",mean,300,LogReg,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.842415,0.841158,0.892268,0.836328,0.837299,0.044743,0.5,default,0.39361198,0.39361198,"LogReg(C=1.0,class_weight=balanced)|w=none"
451,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",tfidf_mean,300,RF,"{""class_weight"": ""balanced"", ""max_depth"": ""20"", ""min_samples_leaf"": ""2"", ""n_estimators"": ""600""}",none,0.842376,0.83727,0.935388,0.869562,0.869562,0.072945,0.5,default,0.27031316,0.27031316,"RF(class_weight=balanced,max_depth=20,min_samples_leaf=2,n_estimators=600)|w=none"
452,tfidf,SW,,head,5000,1-1,tfidf,,,435,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.8422,0.837338,0.936246,0.873084,0.873084,0.054616,0.0,default,-0.4026735,-0.4026735,"LinearSVC(C=1.0,class_weight=balanced)|w=none"
453,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",tfidf_mean,300,RF,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""min_samples_leaf"": ""1"", ""n_estimators"": ""1000""}",none,0.842059,0.836753,0.936576,0.881705,0.889525,0.072849,0.5,default,0.263,0.263,"RF(class_weight=None,max_depth=None,min_samples_leaf=1,n_estimators=1000)|w=none"
454,w2v,SW,,head,5000,1-1,w2v,"dim=100,window=30,epochs=5,min_count=1",mean_max,100,MLP,"{""alpha"": ""0.0001"", ""early_stopping"": ""True"", ""hidden_layer_sizes"": ""(500,)"", ""learning_rate_init"": ""0.001""}",none,0.842047,0.837887,0.904632,0.817974,0.819851,0.048759,0.5,default,0.26727531,0.46561522,"MLP(alpha=0.0001,early_stopping=True,hidden_layer_sizes=(500,),learning_rate_init=0.001)|w=none"
455,tfidf,SW,,head,5000,1-2,tfidf,,,8407,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.841948,0.836271,0.956078,0.905749,0.909656,0.078001,0.0,default,-0.42782992,-0.42782992,"LinearSVC(C=1.0,class_weight=balanced)|w=none"
456,w2v,SW,,strided,20000,1-1,w2v,"dim=100,window=30,epochs=5,min_count=1",tfidf_mean,100,MLP,"{""alpha"": ""0.01"", ""early_stopping"": ""False"", ""hidden_layer_sizes"": ""(500,)"", ""learning_rate_init"": ""0.001""}",none,0.84146,0.837712,0.926196,0.875915,0.840955,0.110465,0.5,default,0.20667713,0.20667713,"MLP(alpha=0.01,early_stopping=False,hidden_layer_sizes=(500,),learning_rate_init=0.001)|w=none"
457,tfidf,SW,,head,5000,1-2,tfidf,,,8407,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""None""}",none,0.84112,0.835304,0.955844,0.909272,0.910244,0.080559,0.0,default,-0.4680578,-0.4680578,"LinearSVC(C=1.0,class_weight=None)|w=none"
458,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean_max,300,MLP,"{""alpha"": ""0.01"", ""early_stopping"": ""False"", ""hidden_layer_sizes"": ""(500,)"", ""learning_rate_init"": ""0.001""}",none,0.840987,0.836025,0.934716,0.868326,0.859498,0.114805,0.5,default,0.18567273,0.18567273,"MLP(alpha=0.01,early_stopping=False,hidden_layer_sizes=(500,),learning_rate_init=0.001)|w=none"
459,tfidf,SW,,head,50000,1-1,tfidf,,,735,LogReg,"{""C"": ""0.1"", ""class_weight"": ""None""}",none,0.840036,0.838221,0.932492,0.861201,0.861201,0.039884,0.5,default,0.36821828,0.36821828,"LogReg(C=0.1,class_weight=None)|w=none"
460,tfidf,SW,,head,5000,1-2,tfidf,,,8407,LogReg,"{""C"": ""10.0"", ""class_weight"": ""balanced""}",none,0.839797,0.834437,0.954108,0.902838,0.902838,0.071163,0.5,default,0.16561493,0.21255159,"LogReg(C=10.0,class_weight=balanced)|w=none"
461,w2v,SW,,head,5000,1-1,w2v,"dim=300,window=30,epochs=5,min_count=1",mean,300,SVM-RBF,"{""C"": ""1.0"", ""class_weight"": ""balanced"", ""gamma"": ""scale""}",none,0.839635,0.837978,0.908294,0.851774,0.851774,0.068138,0.0,default,-0.28891254,-0.28891254,"SVM-RBF(C=1.0,class_weight=balanced,gamma=scale)|w=none"
462,w2v,SW,,head,20000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean,300,SVM-RBF,"{""C"": ""100.0"", ""class_weight"": ""balanced"", ""gamma"": ""scale""}",none,0.839528,0.835913,0.900221,0.847905,0.847905,0.056183,0.0,default,-0.5209779,-0.5209779,"SVM-RBF(C=100.0,class_weight=balanced,gamma=scale)|w=none"
463,tfidf,SW,,head,5000,1-1,tfidf,,,435,LogReg,"{""C"": ""0.1"", ""class_weight"": ""None""}",none,0.839394,0.838149,0.922876,0.850106,0.853576,0.057868,0.5,default,0.42298382,0.42298382,"LogReg(C=0.1,class_weight=None)|w=none"
464,tfidf,SW,,head,5000,1-2,tfidf,,,8407,LogReg,"{""C"": ""10.0"", ""class_weight"": ""None""}",none,0.839044,0.833573,0.95522,0.908568,0.908568,0.07171,0.5,default,0.20743178,0.20743178,"LogReg(C=10.0,class_weight=None)|w=none"
465,w2v,SW,,strided,20000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",tfidf_mean,300,RF,"{""class_weight"": ""balanced"", ""max_depth"": ""20"", ""min_samples_leaf"": ""2"", ""n_estimators"": ""600""}",none,0.838763,0.833434,0.935859,0.892228,0.892228,0.081349,0.5,default,0.2519435,0.2519435,"RF(class_weight=balanced,max_depth=20,min_samples_leaf=2,n_estimators=600)|w=none"
466,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",mean,300,RF,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""min_samples_leaf"": ""1"", ""n_estimators"": ""1000""}",none,0.838674,0.833605,0.939013,0.900032,0.899996,0.092563,0.5,default,0.304,0.332,"RF(class_weight=None,max_depth=None,min_samples_leaf=1,n_estimators=1000)|w=none"
467,w2v,SW,,head,20000,1-1,w2v,"dim=100,window=30,epochs=5,min_count=1",tfidf_mean,100,SVM-RBF,"{""C"": ""10.0"", ""class_weight"": ""None"", ""gamma"": ""0.1""}",none,0.838201,0.832332,0.920527,0.85093,0.854763,0.050344,0.0,default,-0.41698995,-0.41698995,"SVM-RBF(C=10.0,class_weight=None,gamma=0.1)|w=none"
468,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",mean,300,RF,"{""class_weight"": ""balanced"", ""max_depth"": ""None"", ""min_samples_leaf"": ""1"", ""n_estimators"": ""600""}",none,0.838126,0.833052,0.940265,0.885913,0.885913,0.095138,0.5,default,0.28333333,0.28333333,"RF(class_weight=balanced,max_depth=None,min_samples_leaf=1,n_estimators=600)|w=none"
469,w2v,SW,,head,5000,1-1,w2v,"dim=100,window=5,epochs=5,min_count=1",mean_max,100,SVM-RBF,"{""C"": ""10.0"", ""class_weight"": ""balanced"", ""gamma"": ""scale""}",none,0.8379,0.833772,0.906108,0.84231,0.851995,0.051048,0.0,default,-0.55384971,-0.55384971,"SVM-RBF(C=10.0,class_weight=balanced,gamma=scale)|w=none"
470,w2v,SW,,head,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",tfidf_mean,300,LogReg,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.83766,0.836076,0.886719,0.85921,0.85921,0.038398,0.5,default,0.37110182,0.37110182,"LogReg(C=1.0,class_weight=balanced)|w=none"
471,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean_max,300,RF,"{""class_weight"": ""balanced"", ""max_depth"": ""None"", ""min_samples_leaf"": ""1"", ""n_estimators"": ""600""}",none,0.837313,0.832085,0.944417,0.906013,0.906013,0.076087,0.5,default,0.32166667,0.32166667,"RF(class_weight=balanced,max_depth=None,min_samples_leaf=1,n_estimators=600)|w=none"
472,tfidf,SW,,strided,20000,1-1,tfidf,,,794,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""None""}",class_arch,0.837289,0.83236,0.930022,0.835202,0.837008,0.052207,0.0,default,-0.24669313,-0.19292006,"LinearSVC(C=0.1,class_weight=None)|w=class_arch"
473,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean,300,MLP,"{""alpha"": ""0.001"", ""early_stopping"": ""True"", ""hidden_layer_sizes"": ""(256, 128)"", ""learning_rate_init"": ""0.001""}",none,0.836623,0.832734,0.924773,0.900256,0.902222,0.124233,0.5,default,0.32373307,0.32373307,"MLP(alpha=0.001,early_stopping=True,hidden_layer_sizes=(256, 128),learning_rate_init=0.001)|w=none"
474,w2v,SW,,head,5000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean_max,300,SVM-RBF,"{""C"": ""10.0"", ""class_weight"": ""balanced"", ""gamma"": ""scale""}",none,0.836464,0.832045,0.910068,0.839392,0.839392,0.081596,0.0,default,-0.75351355,-0.26542018,"SVM-RBF(C=10.0,class_weight=balanced,gamma=scale)|w=none"
475,w2v,SW,,head,5000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",tfidf_mean,300,MLP,"{""alpha"": ""0.0001"", ""early_stopping"": ""True"", ""hidden_layer_sizes"": ""(500,)"", ""learning_rate_init"": ""0.001""}",none,0.836337,0.832217,0.882987,0.83047,0.833365,0.065633,0.5,default,0.25227949,0.25227949,"MLP(alpha=0.0001,early_stopping=True,hidden_layer_sizes=(500,),learning_rate_init=0.001)|w=none"
476,w2v,SW,,strided,20000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",tfidf_mean,300,RF,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""min_samples_leaf"": ""1"", ""n_estimators"": ""1000""}",none,0.83587,0.830462,0.936383,0.885781,0.885781,0.081565,0.5,default,0.24459766,0.24459766,"RF(class_weight=None,max_depth=None,min_samples_leaf=1,n_estimators=1000)|w=none"
477,w2v,SW,,head,5000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean_max,300,LogReg,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.835841,0.831011,0.885684,0.836611,0.845692,0.087635,0.5,default,0.35676865,0.35676865,"LogReg(C=1.0,class_weight=balanced)|w=none"
478,w2v,SW,,strided,20000,1-1,w2v,"dim=100,window=30,epochs=5,min_count=1",tfidf_mean,100,RF,"{""class_weight"": ""balanced"", ""max_depth"": ""20"", ""min_samples_leaf"": ""2"", ""n_estimators"": ""600""}",none,0.8358,0.830358,0.935862,0.884425,0.884425,0.073366,0.5,default,0.20002381,0.20002381,"RF(class_weight=balanced,max_depth=20,min_samples_leaf=2,n_estimators=600)|w=none"
479,w2v,SW,,head,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",tfidf_mean,300,SVM-RBF,"{""C"": ""1.0"", ""class_weight"": ""balanced"", ""gamma"": ""scale""}",none,0.835295,0.833243,0.913143,0.872231,0.872231,0.071972,0.0,default,-0.30778178,-0.30778178,"SVM-RBF(C=1.0,class_weight=balanced,gamma=scale)|w=none"
480,w2v,SW,,head,5000,1-1,w2v,"dim=300,window=30,epochs=5,min_count=1",tfidf_mean,300,SVM-RBF,"{""C"": ""10.0"", ""class_weight"": ""balanced"", ""gamma"": ""scale""}",none,0.83529,0.832073,0.903909,0.857768,0.835118,0.05774,0.0,default,-0.67033518,-0.48946333,"SVM-RBF(C=10.0,class_weight=balanced,gamma=scale)|w=none"
481,w2v,SW,,head,5000,1-1,w2v,"dim=200,window=10,epochs=10,min_count=5",tfidf_mean,200,SVM-RBF,"{""C"": ""1.0"", ""class_weight"": ""balanced"", ""gamma"": ""scale""}",none,0.83525,0.83314,0.914232,0.871995,0.871995,0.073553,0.0,default,-0.20506271,-0.20506271,"SVM-RBF(C=1.0,class_weight=balanced,gamma=scale)|w=none"
482,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",mean_max,300,MLP,"{""alpha"": ""0.0001"", ""early_stopping"": ""True"", ""hidden_layer_sizes"": ""(500,)"", ""learning_rate_init"": ""0.001""}",class_arch,0.83525,0.83314,0.899605,0.844151,0.816429,0.084012,0.5,default,0.54697614,0.54697614,"MLP(alpha=0.0001,early_stopping=True,hidden_layer_sizes=(500,),learning_rate_init=0.001)|w=class_arch"
483,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean,300,RF,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""min_samples_leaf"": ""1"", ""n_estimators"": ""1000""}",none,0.835043,0.829769,0.940338,0.880352,0.88133,0.087607,0.5,default,0.264,0.301,"RF(class_weight=None,max_depth=None,min_samples_leaf=1,n_estimators=1000)|w=none"
