epoch,lr,train_loss,val_loss,val_macro_f1,seconds
1,5.9999999999999995e-05,0.595146907449962,0.7170215661395086,0.7297822949996864,2.913
2,0.00011999999999999999,0.5262359808363825,0.6287549383019748,0.7397260273972601,2.475
3,0.00017999999999999998,0.47197110047594987,0.6462447757590307,0.7532960614152203,2.802
4,0.00023999999999999998,0.4609260925726843,0.708136714756761,0.7393782491596551,2.457
5,0.0003,0.4663638792791144,0.73573023162476,0.7487746376055897,2.79
6,0.0003,0.4491104636096848,0.7179353825033528,0.7386580131895739,2.473
7,0.0002998688630997793,0.4107976332058233,0.6158696840342865,0.7619565217391304,2.493
8,0.0002994756824578009,0.3825853134819345,0.6755027634912429,0.7623142427784271,3.473
9,0.00029882114784651444,0.384043564620087,0.6809514946044852,0.7578090766823161,2.851
10,0.0002979064075420405,0.35549243495647315,0.6977689766992717,0.757485217609327,1.319
11,0.00029673306630970396,0.344959364385573,0.7047237653166192,0.7433880147304988,1.514
12,0.00029530318258873034,0.3366239681525013,0.6697788042564915,0.7761810407758889,1.478
13,0.00029361926488104403,0.33300027025820017,0.7192588758795229,0.7566921706320093,1.641
14,0.00029168426735050345,0.31966200480869533,0.7282989727307673,0.7671038638780574,2.58
15,0.0002895015846402936,0.305904547450805,0.6982710522059437,0.7442869057547957,2.665
