stage,config_id,dataset,variant,row_align,crops,tta,lr,weight_decay,batch_size,epochs,patience,warmup_epochs,schedule,grad_clip,label_smoothing,loss,focal_gamma,sampler,amp,monitor,dropout,drop_path,width,depth,heads,mlp_ratio,aug_p,aug_max_shift,threshold,seed,device,folds,cv_macro_f1,cv_balanced_accuracy,cv_accuracy,cv_recall_goodware,cv_recall_ransomware,cv_macro_f1_at_0.5,cv_macro_f1_nested_thr,cv_balanced_accuracy_nested_thr,cv_auc,threshold_used,threshold_refit_all_oof,threshold_nested,cv_n,epochs_mean,seconds_per_epoch,seconds_total,wall_seconds
optim,optim_007,balanced,head3,False,1,False,0.0003,0.01,32,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7774001174493246,0.7745325755949399,0.7838373822508676,0.8643306379155435,0.6847345132743363,0.7774001174493246,0.7290750311744445,0.7277394469225326,0.823920242667112,0.5,0.5218,0.522;0.626;0.137,2017,15.0,1.8744935989379883,88.69378161430359,90.9
optim,optim_008,balanced,head3,False,1,False,0.0003,0.01,64,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7705301813408914,0.7672697564582687,0.7793753098661378,0.8840970350404312,0.6504424778761062,0.7705301813408914,0.7590412695365999,0.7578457330502747,0.8410394254546034,0.5,0.1744,0.174;0.500;0.174,2017,20.333333333333332,1.5167078971862793,96.07406234741211,97.8
optim,optim_009,balanced,head3,False,1,False,0.0003,0.001,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7973021026592455,0.7929125022859369,0.8066435299950422,0.9254267744833783,0.6603982300884956,0.7973021026592455,0.6900823652594286,0.6989744094331671,0.8417922938084902,0.5,0.2031,0.246;0.101;0.203,2017,22.666666666666668,2.9049798250198364,204.64404606819153,205.8
optim,optim_010,balanced,head3,False,1,False,0.0003,0.1,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.779288124259096,0.7763295207881116,0.7858205255329698,0.8679245283018868,0.6847345132743363,0.779288124259096,0.7838528459996619,0.781517603702025,0.8328632254371109,0.5,0.293,0.293;0.293;0.263,2017,21.666666666666668,2.920255422592163,195.18004274368286,196.5
optim,optim_011,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,onecycle,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7795494061611727,0.7758390382367675,0.7892910262766485,0.9056603773584906,0.6460176991150443,0.7795494061611727,0.7426827045744487,0.740453231718468,0.8436891245060388,0.5,0.5137,0.626;0.561;0.173,2017,15.333333333333334,2.9837818145751953,149.59320545196533,151.6
optim,optim_012,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,plateau,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7641438773912255,0.7609416867431561,0.7749132374814081,0.8957771787960467,0.6261061946902655,0.7641438773912255,0.7588891215380222,0.7562127789836923,0.7769248582719112,0.5,0.2114,0.598;0.211;0.193,2017,15.0,4.015077352523804,181.22772407531738,184.1
optim,optim_013,balanced,head3,False,1,False,0.0003,0.01,16,150,20,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.776738877911807,0.773527757237475,0.7843331680713932,0.8778077268643306,0.6692477876106194,0.776738877911807,0.7698558070965527,0.7673447948222536,0.8233716178072499,0.5,0.1981,0.620;0.198;0.198,2017,29.0,2.67107892036438,255.32292890548706,256.8
optim,optim_014,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_macro_f1,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7677100195782333,0.7643616471467531,0.7793753098661378,0.9092542677448338,0.6194690265486725,0.7677100195782333,0.7638270764342381,0.7606301036026366,0.8265103085816059,0.5,0.2975,0.598;0.297;0.297,2017,16.666666666666668,2.5209659337997437,126.8938262462616,128.0
optim,optim_015,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.0,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7608803985633663,0.7578283400520001,0.7734258800198315,0.9083557951482479,0.6073008849557522,0.7608803985633663,0.7470691027687408,0.7446340115608774,0.8374539830959934,0.5,0.0661,0.068;0.882;0.066,2017,19.666666666666668,2.3531734943389893,139.37367343902588,140.5
optim,optim_016,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.3,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7723141230992516,0.7689628406046005,0.7813584531482399,0.8885893980233602,0.6493362831858407,0.7723141230992516,0.7660121132398277,0.7636470433890705,0.8332324539433406,0.5,0.287,0.387;0.317;0.287,2017,19.666666666666668,2.431936502456665,143.61620354652405,144.7
