cv_rank,track,tokenizer,vocab_size,sampling,budget,ngram,embedding,w2v,pooling,n_features,classifier,clf_params,weighting,cv_macro_f1,cv_balanced_accuracy,cv_roc_auc,cv_macro_f1_bal_threshold,cv_macro_f1_f1_threshold,cv_macro_f1_fold_std,threshold,threshold_rule,oof_threshold_bal_rule,oof_threshold_f1_rule,spec
167,tfidf,SW,,head,50000,1-1,tfidf,,,532,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.889644,0.884493,0.963458,0.923789,0.933586,0.050396,0.0,default,-0.09172606,-0.09172606,"LinearSVC(C=1.0,class_weight=balanced)|w=none"
168,tfidf,SW,,strided,20000,1-3,tfidf,,,100174,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""None""}",none,0.889606,0.883586,0.987252,0.939081,0.931361,0.037146,0.0,default,-0.6001169,-0.35157833,"LinearSVC(C=1.0,class_weight=None)|w=none"
169,tfidf,SW,,strided,50000,1-1,tfidf,,,553,LogReg,"{""C"": ""10.0"", ""class_weight"": ""balanced""}",none,0.88923,0.884253,0.970395,0.932939,0.933913,0.039256,0.5,default,0.33542539,0.33542539,"LogReg(C=10.0,class_weight=balanced)|w=none"
170,w2v,SW,,head,20000,1-1,w2v,"dim=100,window=30,epochs=5,min_count=1",mean,100,MLP,"{""alpha"": ""0.001"", ""early_stopping"": ""True"", ""hidden_layer_sizes"": ""(256, 128)"", ""learning_rate_init"": ""0.001""}",none,0.888778,0.883908,0.908009,0.891848,0.891848,0.075599,0.5,default,0.3927516,0.3927516,"MLP(alpha=0.001,early_stopping=True,hidden_layer_sizes=(256, 128),learning_rate_init=0.001)|w=none"
171,tfidf,SW,,strided,20000,1-3,tfidf,,,100174,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""None""}",class_arch,0.888748,0.883002,0.984308,0.931523,0.942269,0.05067,0.0,default,-0.40041502,-0.17196031,"LinearSVC(C=0.1,class_weight=None)|w=class_arch"
172,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",mean_max,300,SVM-RBF,"{""C"": ""10.0"", ""class_weight"": ""balanced"", ""gamma"": ""scale""}",none,0.888623,0.884398,0.962897,0.897006,0.897006,0.051957,0.0,default,-0.57581737,-0.57581737,"SVM-RBF(C=10.0,class_weight=balanced,gamma=scale)|w=none"
173,tfidf,SW,,strided,50000,1-3,tfidf,,,117800,LogReg,"{""C"": ""1.0"", ""class_weight"": ""None""}",class_arch,0.888214,0.882448,0.983169,0.931523,0.931287,0.034453,0.5,default,0.37418932,0.37418932,"LogReg(C=1.0,class_weight=None)|w=class_arch"
174,tfidf,SW,,head,50000,1-1,tfidf,,,532,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""None""}",none,0.888011,0.882729,0.962835,0.929152,0.931469,0.052396,0.0,default,-0.14943981,-0.14943981,"LinearSVC(C=1.0,class_weight=None)|w=none"
175,tfidf,SW,,head,50000,1-2,tfidf,,,15661,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""None""}",none,0.887957,0.881823,0.988207,0.938618,0.938618,0.050992,0.0,default,-0.66756085,-0.66756085,"LinearSVC(C=1.0,class_weight=None)|w=none"
176,w2v,SW,,head,20000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean,300,SVM-RBF,"{""C"": ""10.0"", ""class_weight"": ""None"", ""gamma"": ""0.1""}",none,0.887479,0.882176,0.933021,0.880889,0.884734,0.077212,0.0,default,-0.58299332,-0.28772397,"SVM-RBF(C=10.0,class_weight=None,gamma=0.1)|w=none"
177,tfidf,SW,,strided,5000,1-2,tfidf,,,10897,LogReg,"{""C"": ""10.0"", ""class_weight"": ""balanced""}",none,0.886906,0.881519,0.977803,0.908691,0.910901,0.039946,0.5,default,0.14339376,0.3175712,"LogReg(C=10.0,class_weight=balanced)|w=none"
