epoch,lr,train_loss,val_loss,val_acc,seconds
1,5.9999999999999995e-05,0.6658116164241916,0.6254999504241769,79.90867579908677,4.09
2,0.00011999999999999999,0.5775556122017543,1.3209572469807107,51.598173515981735,3.76
3,0.00017999999999999998,0.5809766040237961,0.60015071254887,78.53881278538812,3.83
4,0.00023999999999999998,0.46438779809065434,0.7546215765008099,65.29680365296804,3.81
5,0.0003,0.44954687383454534,0.7736893696327732,72.14611872146118,3.72
6,0.0003,0.41338740241998034,0.6263035465048873,74.88584474885845,3.76
7,0.0002998688630997793,0.3713981028958915,0.7846855213653007,74.42922374429224,3.83
8,0.0002994756824578009,0.3910871671762249,0.6298996721772843,76.71232876712328,3.8
9,0.00029882114784651444,0.3562739044510702,0.7204598917808707,68.4931506849315,3.79
10,0.0002979064075420405,0.3246490308282904,0.9008674871975972,62.10045662100456,3.82
11,0.00029673306630970396,0.32297947007195693,0.8175701558862103,67.12328767123287,3.78
12,0.00029530318258873034,0.32905473982114936,1.065032344430549,61.64383561643836,3.79
13,0.00029361926488104403,0.31226314747578704,0.7733235478945518,76.71232876712328,3.72
