epoch,lr,train_loss,val_loss,val_macro_f1,seconds
1,5.9999999999999995e-05,0.6559498220301125,0.740536076293144,0.3565964523281596,4.293
2,0.00011999999999999999,0.6154631287803777,0.9202773081113215,0.6172052154195011,3.817
3,0.00017999999999999998,0.5755253626347383,0.6374182932453069,0.7312883435582822,4.26
4,0.00023999999999999998,0.456894424489765,0.744436960786445,0.7326007326007326,4.17
5,0.0003,0.45929427803589806,0.6905872070626037,0.75109284840007,4.038
6,0.0003,0.42495000147037604,0.5519457037590411,0.7444684528954192,4.043
7,0.0003,0.3775545144458822,0.7443639323047307,0.7457783034364939,4.128
8,0.0003,0.35315732942017136,0.6477687097575566,0.7613716483281701,3.857
9,0.0003,0.3469847184774145,0.7330397340260684,0.7215170105967652,2.563
10,0.00015,0.32193111912815886,0.6809665699527688,0.7530360860513532,1.971
11,0.00015,0.2991314475207676,0.7039337746084553,0.744682255119773,2.688
12,0.00015,0.296410809396836,0.738535907170544,0.7186835577604537,4.825
13,7.5e-05,0.29210029036353335,0.716016432466028,0.7254129913552275,3.0
14,7.5e-05,0.28328958885944044,0.7771294525224869,0.7368257076731353,2.865
